Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,TRD Sport 4x2,Ice Cap,43015,1695.0,44710.0,At dealer,False,,JTEAU5JR0P5302450,Anderson Toyota,AZ
2023,TRD Sport 4x2,Lunar Rock,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR0P5303307,Street Toyota,TX
2023,TRD Sport 4x2,Magnetic Gray Metallic,43015,4180.0,47195.0,At dealer,False,Available,JTEAU5JR0P5303663,Fred Haas Toyota World,TX
2024,TRD Sport 4x2,Classic Silver Metallic,43315,1495.0,44810.0,Factory to port,False,Available,JTEAU5JR0R5306677,Toyota of Fort Worth,TX
2024,TRD Sport 4x2,Ice Cap,43315,0.0,43315.0,At dealer,False,,JTEAU5JR0R5306761,Visalia Toyota,CA
2024,TRD Sport 4x2,Underground,43315,599.0,43914.0,At dealer,False,Available,JTEAU5JR0R5306985,Landers Toyota,AR
2024,TRD Sport 4x2,Classic Silver Metallic,43315,0.0,43315.0,At dealer,False,,JTEAU5JR0R5307067,Scott Clark Toyota,NC
2024,TRD Sport 4x2,Nautical Blue Metallic,43315,1098.0,44413.0,At dealer,False,Available,JTEAU5JR0R5307148,Toyota of Cedar Park,TX
2024,TRD Sport 4x2,Underground,43315,1892.0,45207.0,Factory to port,False,Available,JTEAU5JR0R5307957,Toyota of Irving,TX
2024,TRD Sport 4x2,Underground,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR0R5308073,Hendrick Toyota North Charleston,SC
2024,TRD Sport 4x2,Nautical Blue Metallic,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR0R5308123,Fred Haas Toyota World,TX
2024,TRD Sport 4x2,Midnight Black Metallic,43315,1895.0,45210.0,Factory to port,False,Available,JTEAU5JR0R5308526,Jim Norton Toyota,OK
2024,TRD Sport 4x2,Underground,43315,1895.0,45210.0,Factory to port,False,Available,JTEAU5JR0R5308655,Don McGill Toyota,TX
2023,TRD Sport 4x2,Ice Cap,43015,498.0,43513.0,At dealer,False,Available,JTEAU5JR1P5294620,Don Ringler Toyota,TX
2023,TRD Sport 4x2,Classic Silver Metallic,43015,1695.0,44710.0,At dealer,False,,JTEAU5JR1P5302585,Anderson Toyota,AZ
2023,TRD Sport 4x2,Lunar Rock,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR1P5302974,Orr Toyota,AR
2024,TRD Sport 4x2,Classic Silver Metallic,43315,0.0,43315.0,At dealer,False,Available,JTEAU5JR1R5306073,Town & Country Toyota,NC
2024,TRD Sport 4x2,Classic Silver Metallic,43315,0.0,43315.0,At dealer,False,,JTEAU5JR1R5306221,Toyota Sunnyvale,CA
2024,TRD Sport 4x2,Solar Octane,43315,0.0,43315.0,At dealer,False,Available,JTEAU5JR1R5306526,Lithia Toyota of Odessa,TX
2024,TRD Sport 4x2,Classic Silver Metallic,43315,0.0,43315.0,At dealer,False,,JTEAU5JR1R5306882,Fred Anderson Toyota of Charleston,SC
2024,TRD Sport 4x2,Underground,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR1R5306901,Gene Messer Toyota,TX
2024,TRD Sport 4x2,Classic Silver Metallic,43315,1495.0,44810.0,Factory to port,False,Available,JTEAU5JR1R5307112,Sterling McCall Toyota,TX
2024,TRD Sport 4x2,Barcelona Red Metallic,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR1R5307126,Fred Haas Toyota Country,TX
2024,TRD Sport 4x2,Underground,43315,0.0,43315.0,At dealer,False,Available,JTEAU5JR1R5307224,Hendrick Toyota Concord,NC
2024,TRD Sport 4x2,Ice Cap,43315,0.0,43315.0,At dealer,False,Available,JTEAU5JR1R5307241,Shottenkirk Toyota Weatherford,TX
2024,TRD Sport 4x2,Barcelona Red Metallic,43315,0.0,43315.0,At dealer,False,Available,JTEAU5JR1R5307613,Universal Toyota,TX
2024,TRD Sport 4x2,Barcelona Red Metallic,43315,1895.0,45210.0,Factory to port,False,Available,JTEAU5JR1R5308132,Don McGill Toyota,TX
2024,TRD Sport 4x2,Classic Silver Metallic,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR1R5308244,Hendrick Toyota Wilmington,NC
2024,TRD Sport 4x2,Midnight Black Metallic,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR1R5308261,Universal Toyota,TX
2024,TRD Sport 4x2,Ice Cap,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR1R5308339,Toyota of Rockwall,TX
2024,TRD Sport 4x2,Midnight Black Metallic,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR1R5308440,Red McCombs Toyota,TX
2024,TRD Sport 4x2,Solar Octane,43315,0.0,43315.0,Factory to port,False,Available,JTEAU5JR1R5308812,Toyota of Richardson,TX
2023,TRD Sport 4x2,Ice Cap,43015,3490.0,46505.0,At dealer,False,Available,JTEAU5JR2P5303759,Berge Toyota,AZ
2024,TRD Sport 4x2,Ice Cap,43315,3190.0,46505.0,At dealer,False,Available,JTEAU5JR2R5305613,Lone Star Toyota of Lewisville,TX
2024,TRD Sport 4x2,Underground,43315,0.0,43315.0,At dealer,False,Available,JTEAU5JR2R5305658,Ed Morse Delray Toyota,FL
2024,TRD Sport 4x2,Ice Cap,43315,0.0,43315.0,At dealer,False,Available,JTEAU5JR2R5306082,Nalley Toyota of Roswell,GA
