Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,MT RWD,Halo,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB10P9765392,Vic Vaughan Toyota of Boerne,TX
2023,MT RWD,Raven,28400,2990.0,31390.0,At dealer,False,Available,JF1ZNBB10P9765604,Fred Haas Toyota World,TX
2023,MT RWD,Raven,28400,8493.0,36893.0,At dealer,False,Available,JF1ZNBB10P9765716,Keating Toyota,TX
2023,MT RWD,Halo,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB10P9766316,Del Toyota,PA
2023,MT RWD,Trueno Blue,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB10P9766347,Camelback Toyota,AZ
2023,MT RWD,Steel,28400,0.0,28400.0,Port to dealer,True,DealerHold,JF1ZNBB10P9766400,Stevens Creek Toyota,CA
2023,MT RWD,Raven,28400,0.0,28400.0,Port to dealer,True,DealerHold,JF1ZNBB10P9766428,Toyota Carlsbad,CA
2023,MT RWD,Pavement,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB10P9766459,Toyota of Riverside,CA
2023,MT RWD,Raven,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB10P9766462,Earnhardt Toyota,AZ
2023,MT RWD,Steel,28400,3085.0,31485.0,Factory to port,False,,JF1ZNBB10P9766509,Toyota of Glendale,CA
2023,MT RWD,Pavement,28400,2490.0,30890.0,At dealer,False,Available,JF1ZNBB10P9766512,Toyota of El Cajon,CA
2023,MT RWD,Track bRED,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB11P9761867,Victory Toyota of Midtown,IL
2023,MT RWD,Pavement,28400,0.0,28400.0,At dealer,True,DealerHold,JF1ZNBB11P9765479,Toyota of Scranton,PA
2023,MT RWD,Raven,28400,2995.0,31395.0,At dealer,False,DealerHold,JF1ZNBB11P9765692,Huntsville Toyota,TX
2023,MT RWD,Raven,28400,1098.0,29498.0,Factory to port,True,DealerHold,JF1ZNBB11P9766292,Toyota of Cedar Park,TX
2023,MT RWD,Steel,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB11P9766454,Claremont Toyota,CA
2023,MT RWD,Raven,28400,0.0,28400.0,Port to dealer,False,Available,JF1ZNBB11P9766521,Bill Wright Toyota,CA
2023,MT RWD,Track bRED,28400,0.0,28400.0,At dealer,False,,JF1ZNBB12P9765801,Bighorn Toyota,CO
2023,MT RWD,Track bRED,28400,0.0,28400.0,Port to dealer,False,Available,JF1ZNBB12P9766320,Toyota of Seattle,WA
2023,MT RWD,Pavement,28400,0.0,28400.0,Port to dealer,True,Available,JF1ZNBB12P9766608,One Toyota of Oakland,CA
2023,MT RWD,Halo,28400,0.0,28400.0,At dealer,False,DealerHold,JF1ZNBB13P9763958,DARCARS Toyota,MD
2023,MT RWD,Track bRED,28400,0.0,28400.0,Factory to port,False,Available,JF1ZNBB13P9766245,Toyota of Vero Beach,FL
2023,MT RWD,Pavement,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB13P9766410,Right Toyota,AZ
2023,MT RWD,Raven,28400,0.0,28400.0,At dealer,False,,JF1ZNBB13P9766424,Mark Miller Toyota,UT
2023,MT RWD,Track bRED,28400,0.0,28400.0,Port to dealer,True,DealerHold,JF1ZNBB13P9766536,I-10 Toyota,CA
2023,MT RWD,Halo,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB14P9765489,AutoNation Toyota Weston,FL
2023,MT RWD,Pavement,28400,0.0,28400.0,At dealer,False,,JF1ZNBB14P9765959,Culver City Toyota,CA
2023,MT RWD,Halo,28400,0.0,28400.0,Factory to port,False,Available,JF1ZNBB14P9766366,Eastern Shore Toyota,AL
2023,MT RWD,Trueno Blue,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB14P9766416,Earnhardt Toyota,AZ
2023,MT RWD,Pavement,28400,2295.0,30695.0,Factory to port,True,,JF1ZNBB14P9766447,Desert Toyota of Tucson,AZ
2023,MT RWD,Halo,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB14P9766514,Toyota of San Bernardino,CA
2023,MT RWD,Halo,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB14P9766562,Temecula Valley Toyota,CA
2023,MT RWD,Pavement,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB14P9766612,Toyota of Downtown LA,CA
2023,MT RWD,Track bRED,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB15P9757255,York Toyota,ME
2023,MT RWD,Steel,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB15P9766229,Toyota of Greensboro,NC
2023,MT RWD,Steel,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB15P9766439,City Toyota,CA
2023,MT RWD,Raven,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB15P9766473,Freeway Toyota of Hanford,CA
2023,MT RWD,Pavement,28400,0.0,28400.0,Port to dealer,True,DealerHold,JF1ZNBB15P9766506,Maita's Toyota of Sacramento,CA
2023,MT RWD,Steel,28400,3085.0,31485.0,Factory to port,False,,JF1ZNBB15P9766568,Toyota of Glendale,CA
2023,MT RWD,Halo,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB15P9766571,Claremont Toyota,CA
2023,MT RWD,Pavement,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB16P9764442,Peterson Toyota,ID
2023,MT RWD,Halo,28400,0.0,28400.0,At dealer,False,,JF1ZNBB16P9765414,Sierra Toyota,AZ
2023,MT RWD,Track bRED,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB16P9765445,Fitzgerald Toyota Gaithersburg,MD
2023,MT RWD,Pavement,28400,798.0,29198.0,At dealer,False,DealerHold,JF1ZNBB16P9765736,Toyota of Tacoma,WA
2023,MT RWD,Pavement,28400,599.0,28999.0,Port to dealer,False,DealerHold,JF1ZNBB16P9766322,Hudson Toyota,NJ
2023,MT RWD,Raven,28400,0.0,28400.0,Port to dealer,False,Available,JF1ZNBB16P9766367,Peterson Toyota,ID
2023,MT RWD,Track bRED,28400,0.0,28400.0,Factory to port,False,,JF1ZNBB16P9766482,Sloane Toyota of Glenside,PA
2023,MT RWD,Steel,28400,0.0,28400.0,Port to dealer,False,DealerHold,JF1ZNBB16P9766501,Moss Bros. Toyota,CA
2023,MT RWD,Halo,28400,0.0,28400.0,Port to dealer,False,DealerHold,JF1ZNBB16P9766515,Toyota of Huntington Beach,CA
2023,MT RWD,Track bRED,28400,0.0,28400.0,Factory to port,False,DealerHold,JF1ZNBB16P9766577,Loyalty Toyota,VA
2023,MT RWD,Raven,28400,0.0,28400.0,Port to dealer,False,,JF1ZNBB16P9766613,Toyota of San Bernardino,CA
2023,MT RWD,Pavement,28400,0.0,28400.0,At dealer,False,Available,JF1ZNBB17P9764952,Peterson Toyota,ID
