Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE FWD,Elemental Silver Metallic,42000,0.0,42000.0,At dealer,False,Available,JTMAAAAA0PA008652,Mojave Toyota of Barstow,CA
2023,Limited FWD,Elemental Silver Metallic,46700,0.0,46700.0,At dealer,False,Available,JTMAAAAA0PA017819,Coad Toyota Paducah,KY
2023,Limited FWD,Wind Chill Pearl,46700,0.0,46700.0,At dealer,False,Available,JTMAAAAA0PA021627,Toyota of Hackensack,NJ
2023,Limited FWD,Wind Chill Pearl,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA021918,Labadie Toyota,MI
2023,Limited FWD,Elemental Silver Metallic,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA024432,Victory Toyota,CA
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA025712,Victory Toyota,CA
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA025760,Antwerpen's Toyota,MD
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA025905,Toyota Marin,CA
2023,Limited FWD,Heavy Metal,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA025953,Toyota of Lancaster,CA
2023,XLE FWD,Black,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA025970,Fremont Toyota,CA
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA026035,Toyota Marin,CA
2023,Limited FWD,Wind Chill Pearl,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA026133,Victory Toyota of San Bruno,CA
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA026228,DARCARS Toyota,MD
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA026231,Stevens Creek Toyota,CA
2023,XLE FWD,Wind Chill Pearl,42000,2242.0,44242.0,At dealer,False,,JTMAAAAA0PA026245,Toyota of Lancaster,CA
2023,XLE FWD,Supersonic Red,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA026309,Mossy Toyota,CA
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,Port to dealer,False,,JTMAAAAA0PA026603,Fitzgerald Toyota Gaithersburg,MD
2023,XLE FWD,Elemental Silver Metallic,42000,0.0,42000.0,Port to dealer,False,,JTMAAAAA0PA027363,DARCARS Toyota,MD
2023,XLE FWD,Black,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA027377,Santa Cruz Toyota,CA
2023,XLE FWD,Black,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA027489,Santa Cruz Toyota,CA
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA027511,Hanlees Fairfield Toyota,CA
2023,XLE FWD,Elemental Silver Metallic,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA027640,Norm Reeves Toyota San Diego,CA
2023,XLE FWD,Black,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA027671,Heritage Toyota Owings Mills,MD
2023,Limited FWD,Wind Chill Pearl,46700,450.0,47150.0,At dealer,False,,JTMAAAAA0PA027749,Valley Hi Toyota,CA
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA027802,Hanlees Fairfield Toyota,CA
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA027900,Toyota of El Cajon,CA
2023,Limited FWD,Black,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA027962,Envision Toyota of West Covina,CA
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,Available,JTMAAAAA0PA028156,Elk Grove Toyota,CA
2023,XLE FWD,Black,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028173,Heritage Toyota Catonsville,MD
2023,Limited FWD,Elemental Silver Metallic,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA028299,Claremont Toyota,CA
2023,XLE FWD,Elemental Silver Metallic,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028352,Toyota of Escondido,CA
2023,XLE FWD,PLATINUM WHITE PEARL MC.,42000,0.0,42000.0,At dealer,False,Available,JTMAAAAA0PA028397,Jim Norton Toyota,OK
2023,XLE FWD,Supersonic Red,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028433,Hamer Toyota,CA
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028559,North Bakersfield Toyota,CA
2023,XLE FWD,Black,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028562,Toyota Chula Vista,CA
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028609,One Toyota of Oakland,CA
2023,Limited FWD,Supersonic Red with Black roof,46700,0.0,46700.0,Port to dealer,False,,JTMAAAAA0PA028643,Toyota Direct,OH
2023,XLE FWD,Black,42000,0.0,42000.0,Port to dealer,False,,JTMAAAAA0PA028657,DARCARS Toyota,MD
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,Port to dealer,False,,JTMAAAAA0PA028710,DARCARS Toyota,MD
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028724,Hamer Toyota,CA
2023,XLE FWD,Elemental Silver Metallic,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028738,DCH Toyota of Torrance,CA
2023,XLE FWD,Wind Chill Pearl,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028741,Culver City Toyota,CA
2023,Limited FWD,Heavy Metal,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA028870,Toyota Santa Monica,CA
2023,XLE FWD,Elemental Silver Metallic,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028903,Concord Toyota,CA
2023,XLE FWD,Heavy Metal,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028920,Longo Toyota,CA
2023,XLE FWD,Supersonic Red,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA028979,Toyota of Riverside,CA
