Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU01B618,Joseph Toyota of Cincinnati,OH
2024,LE FWD,Ice Cap,26420,2037.0,28457.0,Factory to port,False,,4T1C11AK0RU01D319,AutoNation Toyota Tempe,AZ
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU01E051,Magnussen's Toyota of Palo Alto,CA
2024,LE FWD,Ice Cap,26420,1997.0,28417.0,Factory to port,False,,4T1C11AK0RU01E227,AutoNation Toyota Las Vegas,NV
2024,LE FWD,Ice Cap,26420,2037.0,28457.0,Factory to port,False,,4T1C11AK0RU02A965,AutoNation Toyota Tempe,AZ
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,Factory to port,True,,4T1C11AK0RU02C165,Toyota of Des Moines,IA
2024,LE FWD,Ice Cap,26420,2037.0,28457.0,Factory to port,False,DealerHold,4T1C11AK0RU02C344,AutoNation Toyota Tempe,AZ
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU02C375,Johnson City Toyota,TN
2024,LE FWD,Ice Edge,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU02C487,Claremont Toyota,CA
2024,LE FWD,Ice Cap,26420,2037.0,28457.0,Factory to port,False,,4T1C11AK0RU02C585,AutoNation Toyota Tempe,AZ
2024,LE FWD,Midnight Black Metallic,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU02C604,Avondale Toyota,AZ
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU02C649,Toyota on Nicholasville,KY
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU02E627,Joseph Toyota of Cincinnati,OH
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU02E739,Claremont Toyota,CA
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU02F664,Toyota Carlsbad,CA
2024,LE FWD,Ice Edge,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03A122,Faulkner Toyota,PA
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,Factory to port,True,,4T1C11AK0RU03A248,Johnson City Toyota,TN
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03A251,Capital Toyota,TN
2024,LE FWD,Celestial Silver Metallic,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03B030,Claremont Toyota,CA
2024,LE FWD,Ice Cap,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03B271,Claremont Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03B965,Auburn Toyota,CA
2024,LE FWD,Ice Cap,26420,1398.0,27818.0,Factory to port,False,,4T1C11AK0RU03B979,AutoNation Toyota Irvine,CA
2024,LE FWD,Ice Edge,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03C193,Claremont Toyota,CA
2024,LE FWD,Supersonic Red,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03C243,Claremont Toyota,CA
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03C548,City Toyota,CA
2024,LE FWD,Supersonic Red,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03C615,Toyota of Erie,PA
2024,LE FWD,Predawn Gray Mica,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU03C825,Toyota of Erie,PA
2024,LE FWD,Supersonic Red,26420,0.0,26420.0,Factory to port,False,,4T1C11AK0RU05C749,Dan Deery Toyota,IA
