Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,1599.0,30454.0,At dealer,False,Available,4T1C31AK0RU066320,Fowler Toyota,OK
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU068939,Headquarter Toyota,FL
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,1695.0,30550.0,Port to dealer,False,,4T1C31AK0RU069119,Anderson Toyota,AZ
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU069850,Stephen Wade Toyota,UT
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU070755,Toyota of Pharr,TX
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,988.0,29843.0,At dealer,False,Available,4T1C31AK0RU071145,Longo Toyota of Prosper,TX
2024,Camry LE Hybrid FWD,Supersonic Red,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU071212,Family Toyota of Burleson,TX
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU071842,Right Toyota,AZ
2024,Camry LE Hybrid FWD,Ice Edge,28855,1790.0,30645.0,At dealer,False,,4T1C31AK0RU071999,Shore Toyota,NJ
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU072070,Romeo Toyota of Glens Falls,NY
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU072117,Penn Toyota,NY
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU072120,Downtown Toyota of Oakland,CA
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU072151,Plaza Toyota,NY
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU072375,Foothills Toyota,WA
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU072537,Fred Haas Toyota Country,TX
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU072716,Tony Divino Toyota,UT
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU073638,McGee Toyota,MA
2024,Camry LE Hybrid FWD,Supersonic Red,28855,0.0,28855.0,Port to dealer,False,Available,4T1C31AK0RU073798,Steet Toyota,NY
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU073896,Jim Coleman Toyota,MD
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU074109,Toyota Carlsbad,CA
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU074112,Herb Chambers Toyota of Boston,MA
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU074367,Aubrey Alexander Toyota,PA
2024,Camry LE Hybrid FWD,Reservoir Blue,28855,0.0,28855.0,At dealer,True,DealerHold,4T1C31AK0RU074532,Toyota of Louisville,KY
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU074546,Baxter Toyota of La Vista,NE
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU074627,"Westboro Toyota, Inc.",MA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK0RU074742,Buckhannon Toyota,WV
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,At dealer,False,DealerHold,4T1C31AK0RU074756,Pauly Toyota,IL
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU074854,David Wilson's Toyota of Las Vegas,NV
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK0RU074921,Groove Toyota,CO
2024,Camry LE Hybrid FWD,Reservoir Blue,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU075194,Toyota of Bowling Green,KY
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU51A395,Foothills Toyota,WA
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU51A400,Cox Toyota,NC
2024,Camry LE Hybrid FWD,Reservoir Blue,28855,0.0,28855.0,Factory to port,False,DealerHold,4T1C31AK0RU51C258,Greentree Toyota,CT
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU51D510,McKinnon Toyota,AL
2024,Camry LE Hybrid FWD,Reservoir Blue,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU51E348,Toyota of Fort Walton Beach,FL
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU51E673,Hendrick Toyota Apex,NC
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Factory to port,False,DealerHold,4T1C31AK0RU51F662,Team Toyota of Glen Mills,PA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Factory to port,False,,4T1C31AK0RU51F726,Lynch Toyota of Auburn,AL
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Factory to port,False,Available,4T1C31AK0RU51G147,South Dade Toyota,FL
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK0RU625557,Buckhannon Toyota,WV
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,At dealer,False,DealerHold,4T1C31AK0RU627258,Grieco Toyota,RI
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU627311,Aubrey Alexander Toyota,PA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK0RU627535,Del Toyota,PA
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,1098.0,29953.0,Factory to port,False,Available,4T1C31AK0RU627549,Toyota of Cedar Park,TX
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK0RU627597,Tony Divino Toyota,UT
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,At dealer,False,,4T1C31AK1RU068481,Toyota of Erie,PA
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,False,Available,4T1C31AK1RU068934,Lia Toyota,MA
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,At dealer,False,,4T1C31AK1RU070358,Westbrook Toyota,CT
2024,Camry LE Hybrid FWD,Ice Edge,28855,0.0,28855.0,At dealer,True,Available,4T1C31AK1RU070991,Post Oak Toyota,OK
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK1RU071140,Stephen Wade Toyota,UT
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,True,Available,4T1C31AK1RU071204,St. Cloud Toyota,MN
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,799.0,29654.0,At dealer,False,,4T1C31AK1RU071297,Roswell Toyota,NM
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,1098.0,29953.0,At dealer,True,DealerHold,4T1C31AK1RU071929,Toyota of Cedar Park,TX
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,698.0,29553.0,At dealer,False,,4T1C31AK1RU072238,Toyota of Renton,WA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK1RU072417,Camelback Toyota,AZ
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK1RU072451,Toyota of Vero Beach,FL
2024,Camry LE Hybrid FWD,Midnight Black Metallic,28855,0.0,28855.0,Port to dealer,False,,4T1C31AK1RU072837,Lynch Toyota,CT
2024,Camry LE Hybrid FWD,Ice Cap,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK1RU073146,Toyota Carlsbad,CA
2024,Camry LE Hybrid FWD,Predawn Gray Mica,28855,0.0,28855.0,Port to dealer,False,DealerHold,4T1C31AK1RU073227,Madera Toyota,CA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,False,Available,4T1C31AK1RU073308,Family Toyota of Burleson,TX
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,1495.0,30350.0,Factory to port,False,Available,4T1C31AK1RU073325,Price LeBlanc Toyota,LA
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,Port to dealer,True,DealerHold,4T1C31AK1RU073633,Toyota of Portsmouth,NH
2024,Camry LE Hybrid FWD,Celestial Silver Metallic,28855,0.0,28855.0,At dealer,False,,4T1C31AK1RU073650,Toyota of Warren,OH
