Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,L FWD,Jet Black,23610,0.0,23610.0,Port to dealer,True,Available,7MUAAAAG0PV069786,Performance Motors Toyota,PA
2024,L FWD,Wind Chill Pearl,23610,0.0,23610.0,Factory to port,False,,7MUAAAAG0RV01A518,Hanlees Fairfield Toyota,CA
2024,L FWD,Jet Black,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0RV01B281,Palm Beach Toyota,FL
2024,L FWD,Celestite,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0RV02A126,Leith Toyota,NC
2024,L FWD,Sonic Silver,23610,0.0,23610.0,At dealer,False,Available,7MUAAAAG0RV073727,Heyward Allen Toyota,GA
2024,L FWD,Celestite,23610,0.0,23610.0,Factory to port,False,Available,7MUAAAAG0RV074621,Toyota of Clermont,FL
2024,L FWD,Sonic Silver,23610,0.0,23610.0,At dealer,False,Available,7MUAAAAG0RV074747,Ira Toyota,MA
2024,L FWD,Sonic Silver,23610,0.0,23610.0,Port to dealer,False,,7MUAAAAG0RV075395,Lithia Toyota of Billings,MT
2024,L FWD,Jet Black,23610,2190.0,25800.0,Port to dealer,False,,7MUAAAAG0RV075462,Sansone Toyota,NJ
2024,L FWD,Wind Chill Pearl,23610,1875.0,25485.0,At dealer,False,DealerHold,7MUAAAAG0RV075591,Red McCombs Toyota,TX
2024,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,True,DealerHold,7MUAAAAG0RV075686,Millennium Toyota,NY
2024,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,False,,7MUAAAAG0RV075722,Dan Cava's Toyota World,WV
2024,L FWD,Jet Black,23610,0.0,23610.0,Factory to port,False,DealerHold,7MUAAAAG0RV075901,Lipton Toyota,FL
2024,L FWD,Celestite,23610,0.0,23610.0,Port to dealer,False,,7MUAAAAG0RV075946,Centennial Toyota,NV
2024,L FWD,Celestite,23610,0.0,23610.0,Factory to port,False,DealerHold,7MUAAAAG0RV076093,AutoNation Toyota Winter Park,FL
2024,L FWD,Jet Black,23610,0.0,23610.0,Factory to port,False,,7MUAAAAG0RV076241,Headquarter Toyota,FL
