Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XSE FWD,Classic Silver Metallic,26580,0.0,26580.0,At dealer,False,Available,JTNC4MBE0P3213214,Lynch Toyota of Auburn,AL
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R152CD09,Toyota of Des Moines,IA
2024,XSE FWD,Finish Line Red,26655,0.0,26655.0,At dealer,False,DealerHold,JTNC4MBE0R3214785,Uebelhor Toyota,IN
2024,XSE FWD,Ice Cap,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE0R3215631,Chatham Parkway Toyota,GA
2024,XSE FWD,Inferno,26655,1098.0,27753.0,At dealer,False,Available,JTNC4MBE0R3217914,Toyota of Cedar Park,TX
2024,XSE FWD,Classic Silver Metallic,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE0R3218349,North Park Toyota of San Antonio,TX
2024,XSE FWD,Classic Silver Metallic,26655,1274.0,27929.0,At dealer,False,,JTNC4MBE0R3218657,Tom Wood Toyota,IN
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,Port to dealer,False,,JTNC4MBE0R3219128,Toyota of Des Moines,IA
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3219193,Brewer Airport Toyota,PA
2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3219274,I-10 Toyota,CA
2024,XSE FWD,Wind Chill Pearl,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3219565,Plaza Toyota,NY
2024,XSE FWD,Magnetic Gray Metallic,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE0R3219680,North Park Toyota of San Antonio,TX
2024,XSE FWD,Wind Chill Pearl,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3219730,Krause Toyota,PA
2024,XSE FWD,Wind Chill Pearl,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE0R3219906,South Dade Toyota,FL
2024,XSE FWD,Midnight Black Metallic,26655,1495.0,28150.0,At dealer,False,Available,JTNC4MBE0R3220098,Post Oak Toyota,OK
2024,XSE FWD,Classic Silver Metallic,26655,1495.0,28150.0,At dealer,False,Available,JTNC4MBE0R3220103,Post Oak Toyota,OK
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,1098.0,27753.0,At dealer,False,Available,JTNC4MBE0R3220280,Toyota of Cedar Park,TX
2024,XSE FWD,Classic Silver Metallic,26655,1899.0,28554.0,At dealer,False,,JTNC4MBE0R3220358,Wolfchase Toyota,TN
2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,DealerHold,JTNC4MBE0R3220361,Motorworld Toyota,PA
2024,XSE FWD,Midnight Black Metallic,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3220439,Ron Tonkin Toyota,OR
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,Port to dealer,False,,JTNC4MBE0R3220456,Eddy's Toyota of Wichita,KS
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,DealerHold,JTNC4MBE0R3220537,Burdick Toyota,NY
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,Port to dealer,True,DealerHold,JTNC4MBE0R3220554,Peppers Toyota,TN
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3220599,Haley Toyota,VA
2024,XSE FWD,Magnetic Gray Metallic,26655,1875.0,28530.0,At dealer,False,Available,JTNC4MBE0R3220750,Red McCombs Toyota,TX
2024,XSE FWD,Magnetic Gray Metallic,26655,0.0,26655.0,Port to dealer,False,,JTNC4MBE0R3220876,Iron Trail Toyota,MN
2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26655,0.0,26655.0,Port to dealer,False,,JTNC4MBE0R3220909,Joe Machens Toyota,MO
2024,XSE FWD,Classic Silver Metallic,26655,0.0,26655.0,Port to dealer,True,DealerHold,JTNC4MBE0R3220960,Maplewood Toyota,MN
2024,XSE FWD,Blue Crush Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,Port to dealer,False,,JTNC4MBE0R3221008,Camelback Toyota,AZ
2024,XSE FWD,Classic Silver Metallic,26655,0.0,26655.0,Factory to port,False,Available,JTNC4MBE0R3221154,Rick Hendrick Toyota,NC
2024,XSE FWD,Magnetic Gray Metallic,26655,0.0,26655.0,Port to dealer,False,,JTNC4MBE0R3221350,Continental Toyota,IL
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,Port to dealer,False,DealerHold,JTNC4MBE0R3221378,Autoland Toyota,NJ
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3221719,Toyota of The Desert,CA
2024,XSE FWD,Classic Silver Metallic,26655,0.0,26655.0,Port to dealer,False,,JTNC4MBE0R3221736,Victory Toyota of Midtown,IL
2024,XSE FWD,Wind Chill Pearl,26655,0.0,26655.0,At dealer,False,,JTNC4MBE0R3221851,Heartland Toyota,WA
2024,XSE FWD,Classic Silver Metallic,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3222031,Norm Reeves Toyota San Diego,CA
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3222434,Prestige Toyota of Ramsey,NJ
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3222482,Younger Toyota,MD
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,995.0,27650.0,Factory to port,False,,JTNC4MBE0R3222966,Toyota Town,CA
2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3223017,Heritage Toyota Catonsville,MD
2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3223051,Paul Miller Toyota of West Caldwell,NJ
2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3223115,Toyota of Brookfield,WI
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3223504,AutoNation Toyota Hayward,CA
2024,XSE FWD,Finish Line Red,26655,0.0,26655.0,Factory to port,False,Available,JTNC4MBE0R3223549,Kenny Kent Toyota,IN
2024,XSE FWD,Wind Chill Pearl,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3223597,Fox Toyota,MI
2024,XSE FWD,Classic Silver Metallic,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3223745,Toyota of Escondido,CA
2024,XSE FWD,Wind Chill Pearl with Midnight Black Metallic roof,26655,0.0,26655.0,Factory to port,False,,JTNC4MBE0R3223776,Olathe Toyota,KS
2024,XSE FWD,Ice Cap,26655,0.0,26655.0,Factory to port,False,DealerHold,JTNC4MBE0R3223843,Schaumburg Toyota,IL
2023,XSE FWD,Finish Line Red,26580,0.0,26580.0,At dealer,False,,JTNC4MBE1P3212668,Yellowstone Toyota,WY
2024,XSE FWD,Finish Line Red,26655,0.0,26655.0,At dealer,False,,JTNC4MBE1R3215797,Kari Toyota,WI
2024,XSE FWD,Finish Line Red with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE1R3216089,Atlantic Toyota,NY
2024,XSE FWD,Blue Crush Metallic,26655,249.0,26904.0,At dealer,False,Available,JTNC4MBE1R3217081,Northcutt Toyota,OK
2024,XSE FWD,Wind Chill Pearl,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE1R3217727,Poe Toyota,TX
2024,XSE FWD,Midnight Black Metallic,26655,0.0,26655.0,At dealer,False,,JTNC4MBE1R3217968,Krause Toyota,PA
2024,XSE FWD,Classic Silver Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE1R3218134,Antwerpen's Toyota,MD
2024,XSE FWD,Magnetic Gray Metallic,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE1R3218554,Pitts Toyota,GA
2024,XSE FWD,Ice Cap,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE1R3218683,Stokes Toyota Beaufort,SC
2024,XSE FWD,Midnight Black Metallic,26655,0.0,26655.0,At dealer,False,,JTNC4MBE1R3219123,Millennium Toyota,NY
2024,XSE FWD,Magnetic Gray Metallic with Midnight Black Metallic roof,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE1R3219235,Seeger Toyota,MO
2024,XSE FWD,Classic Silver Metallic,26655,0.0,26655.0,At dealer,False,Available,JTNC4MBE1R3219588,Freeway Toyota of Hanford,CA
