Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Nightshade FWD,Midnight Black Metallic,26740,1495.0,28235.0,Factory to port,False,,JTDBCMFE0R150AG80,Simi Valley Toyota,CA
2024,SE FWD,Celestite,25740,0.0,25740.0,Factory to port,False,,JTDBCMFE0R150AI90,Toyota Carlsbad,CA
2024,SE FWD,Ice Cap,25740,0.0,25740.0,Factory to port,False,,JTDBCMFE0R150AV98,Stevens Creek Toyota,CA
2024,SE FWD,Classic Silver Metallic,25740,0.0,25740.0,Factory to port,False,,JTDBCMFE0R150AW03,Stevens Creek Toyota,CA
2024,SE FWD,Classic Silver Metallic,25740,0.0,25740.0,Factory to port,False,,JTDBCMFE0R150BC01,Toyota of Puyallup,WA
2024,LE FWD,Classic Silver Metallic,23300,0.0,23300.0,Factory to port,False,,JTDBCMFE0R150CT18,Frank Fletcher Toyota,MO
2024,Nightshade FWD,Ice Cap,26740,0.0,26740.0,Factory to port,False,,JTDBCMFE0R151CQ50,Dan Deery Toyota,IA
2024,XLE FWD,Wind Chill Pearl,27050,0.0,27050.0,Factory to port,False,,JTDBCMFE0R151CQ78,Legends Toyota,KS
2024,LE FWD,Underground,23300,648.0,23948.0,Factory to port,False,Available,JTDBCMFE0R151ES60,Don Ringler Toyota,TX
2024,SE FWD,Underground,25740,1495.0,27235.0,At dealer,False,Available,JTDBCMFE0R3028175,Fallon Ford Toyota,NV
2024,LE FWD,Midnight Black Metallic,23300,0.0,23300.0,At dealer,False,DealerHold,JTDBCMFE0R3028712,Dan Hecht Chevrolet/Toyota,IL
2024,Nightshade FWD,Ice Cap,26740,0.0,26740.0,At dealer,False,,JTDBCMFE0R3031383,Thousand Oaks Toyota,CA
2024,LE FWD,Midnight Black Metallic,23300,0.0,23300.0,At dealer,True,Available,JTDBCMFE0R3031528,Palmiero Toyota,PA
2024,LE FWD,Midnight Black Metallic,23300,1999.0,25299.0,At dealer,False,DealerHold,JTDBCMFE0R3031562,Toyota of Warren,OH
2024,SE FWD,Classic Silver Metallic,25740,0.0,25740.0,At dealer,False,Available,JTDBCMFE0R3031786,Freeman Toyota,CA
2024,Nightshade FWD,Ice Cap,26740,0.0,26740.0,At dealer,False,Available,JTDBCMFE0R3032033,Toyota of Lompoc,CA
