Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,At dealer,False,DealerHold,5TDAAAA50RS005159,Gray-Daniels Toyota,MS
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS005260,Freeway Toyota of Hanford,CA
2024,XLE FWD,Ruby Flare Pearl,43070,1995.0,45065.0,At dealer,False,Available,5TDAAAA50RS005694,Cavender Toyota,TX
2024,XLE FWD,Wind Chill Pearl,43070,0.0,43070.0,At dealer,False,DealerHold,5TDAAAA50RS006358,Cabe Toyota Long Beach,CA
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS006540,Shottenkirk Toyota Weatherford,TX
2024,XLE FWD,Celestial Silver Metallic,43070,399.0,43469.0,At dealer,False,Available,5TDAAAA50RS006828,Toyota of Paris,TX
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS007008,Hamer Toyota,CA
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS007171,North Park Toyota of San Antonio,TX
2024,Limited FWD,Wind Chill Pearl,47860,1395.0,49255.0,At dealer,False,DealerHold,5TDAAAA50RS007204,Toyota of New Orleans,LA
2024,Limited FWD,Wind Chill Pearl,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS007283,Fred Anderson Toyota,NC
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS007297,I-95 Toyota of Brunswick,GA
2024,XLE FWD,Midnight Black Metallic,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS007591,Centennial Toyota,NV
2024,XLE FWD,Midnight Black Metallic,43070,1495.0,44565.0,At dealer,False,DealerHold,5TDAAAA50RS007641,Post Oak Toyota,OK
2024,XLE FWD,Ruby Flare Pearl,43070,1895.0,44965.0,Port to dealer,False,Available,5TDAAAA50RS007932,Don McGill Toyota,TX
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS007963,Toyota of Downtown LA,CA
2024,Limited FWD,Storm Cloud,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS008014,Family Toyota of Burleson,TX
2024,Limited FWD,Wind Chill Pearl,47860,0.0,47860.0,At dealer,True,Available,5TDAAAA50RS008112,Avondale Toyota,AZ
2024,XLE FWD,Midnight Black Metallic,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS008241,Longo Toyota,CA
2024,Limited FWD,Storm Cloud,47860,3493.0,51353.0,At dealer,True,DealerHold,5TDAAAA50RS008272,Keating Toyota,TX
2024,XLE FWD,Wind Chill Pearl,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS008286,Palmer's Airport Toyota,AL
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS008398,Longo Toyota,CA
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS008403,Central Florida Toyota,FL
2024,Limited FWD,Storm Cloud,47860,0.0,47860.0,Factory to port,True,Available,5TDAAAA50RS008417,Round Rock Toyota,TX
2024,Limited FWD,Blueprint,47860,11493.0,59353.0,At dealer,True,DealerHold,5TDAAAA50RS008448,Keating Toyota,TX
2024,Limited FWD,Midnight Black Metallic,47860,4795.0,52655.0,At dealer,True,Available,5TDAAAA50RS008465,Universal Toyota,TX
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS008479,North Park Toyota of San Antonio,TX
2024,XLE FWD,Midnight Black Metallic,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS008482,Fred Anderson Toyota,NC
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS008496,Fred Haas Toyota Country,TX
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,At dealer,False,,5TDAAAA50RS008501,North Bakersfield Toyota,CA
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS008594,Toyota of Greensboro,NC
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,Factory to port,True,DealerHold,5TDAAAA50RS008627,Mike Johnson's Hickory Toyota,NC
2024,XLE FWD,Coastal Cream,43070,0.0,43070.0,At dealer,False,Available,5TDAAAA50RS008630,Doc's Toyota,MS
2024,Limited FWD,Coastal Cream,47860,1495.0,49355.0,At dealer,False,Available,5TDAAAA50RS008644,Toyota of Fort Worth,TX
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,Factory to port,False,,5TDAAAA50RS008658,Toyota of Orlando,FL
2024,Limited FWD,Midnight Black Metallic,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS008661,Toyota of Dallas,TX
2024,XLE FWD,Celestial Silver Metallic,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS008675,Toyota of Hollywood,FL
2024,Limited FWD,Blueprint,47860,1999.0,49859.0,Factory to port,True,Available,5TDAAAA50RS008692,Joe Myers Toyota,TX
2024,Limited FWD,Storm Cloud,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS008711,Round Rock Toyota,TX
2024,XLE FWD,Storm Cloud,43070,0.0,43070.0,Factory to port,False,Available,5TDAAAA50RS008742,Gray-Daniels Toyota,MS
2024,Limited FWD,Storm Cloud,47860,1995.0,49855.0,Port to dealer,False,,5TDAAAA50RS008773,Berge Toyota,AZ
2024,XLE FWD,Ruby Flare Pearl,43070,0.0,43070.0,Factory to port,True,Available,5TDAAAA50RS008787,Cherokee County Toyota,GA
2024,Limited FWD,Celestial Silver Metallic,47860,0.0,47860.0,At dealer,False,Available,5TDAAAA50RS008806,Serra Toyota of Decatur,AL
2024,Limited FWD,Ruby Flare Pearl,47860,0.0,47860.0,Factory to port,False,Available,5TDAAAA50RS008823,Germain Toyota of Naples,FL
