Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Core AWD,Supersonic Red,35900,0.0,35900.0,Factory to port,False,DealerHold,JTNABAAE0PA007397,AutoNation Toyota Thornton Road,GA
2024,Circuit Edition AWD,Blue Flame,44740,2990.0,47730.0,Port to dealer,False,DealerHold,JTNABAAE0RA007791,Fred Haas Toyota World,TX
2024,Core AWD,Black,36100,0.0,36100.0,At dealer,False,Available,JTNABAAE0RA007869,Gettel Toyota of Lakewood,FL
2024,Core AWD,Black,36100,0.0,36100.0,At dealer,False,,JTNABAAE0RA008018,Peter Boulware Toyota,FL
2024,Core AWD,Ice Cap,36100,0.0,36100.0,At dealer,False,,JTNABAAE0RA008259,Serra Toyota of Decatur,AL
2024,Core AWD,Supersonic Red,36100,0.0,36100.0,At dealer,False,,JTNABAAE0RA008309,Malloy Toyota,VA
2024,Premium AWD,Ice Cap,39920,0.0,39920.0,Port to dealer,False,Available,JTNABAAE0RA008374,Seeger Toyota,MO
2024,Premium AWD,Black,39920,0.0,39920.0,At dealer,False,,JTNABAAE0RA008438,Chicago Northside Toyota,IL
2024,Circuit Edition AWD,Blue Flame,44740,0.0,44740.0,At dealer,False,DealerHold,JTNABAAE0RA008519,Kendall Toyota,FL
2024,Core AWD,Supersonic Red,36100,0.0,36100.0,At dealer,False,Available,JTNABAAE0RA008522,Toyota of North Miami,FL
2024,Circuit Edition AWD,Blue Flame,44740,0.0,44740.0,At dealer,False,DealerHold,JTNABAAE0RA008567,Performance Toyota,OH
2024,Premium AWD,Ice Cap,39920,0.0,39920.0,At dealer,False,Available,JTNABAAE0RA008648,Atlantic Toyota,NY
2024,Premium AWD,Ice Cap,39920,2098.0,42018.0,At dealer,True,DealerHold,JTNABAAE0RA008777,Toyota of Surprise,AZ
2024,Premium AWD,Heavy Metal,39920,0.0,39920.0,At dealer,True,Available,JTNABAAE0RA008780,Shottenkirk Toyota Weatherford,TX
2024,Premium AWD,Ice Cap,39920,0.0,39920.0,At dealer,False,DealerHold,JTNABAAE0RA008827,Envision Toyota of West Covina,CA
2024,Core AWD,Black,36100,0.0,36100.0,At dealer,False,,JTNABAAE0RA008889,City Toyota,CA
2024,Premium AWD,Black,39920,0.0,39920.0,Port to dealer,True,DealerHold,JTNABAAE0RA008925,Baxter Toyota of La Vista,NE
2024,Core AWD,Black,36100,0.0,36100.0,Port to dealer,False,DealerHold,JTNABAAE0RA008942,Toyota of Ashland,KY
2024,Premium AWD,Supersonic Red,39920,0.0,39920.0,Port to dealer,False,,JTNABAAE0RA008956,Westchester Toyota,NY
2024,Circuit Edition AWD,Blue Flame,44740,0.0,44740.0,At dealer,False,,JTNABAAE0RA008987,Fred Anderson Toyota of Charleston,SC
2024,Premium AWD,Heavy Metal,39920,0.0,39920.0,At dealer,False,Available,JTNABAAE0RA009041,Prestige Toyota of Ramsey,NJ
2024,Premium AWD,Ice Cap,39920,0.0,39920.0,At dealer,False,DealerHold,JTNABAAE0RA009105,Victory Toyota of San Bruno,CA
2024,Core AWD,Supersonic Red,36100,0.0,36100.0,At dealer,False,Available,JTNABAAE0RA009119,Scott Clark Toyota,NC
2024,Core AWD,Ice Cap,36100,0.0,36100.0,Port to dealer,False,DealerHold,JTNABAAE0RA009122,Shelor Toyota,VA
2024,Premium AWD,Black,39920,0.0,39920.0,At dealer,False,,JTNABAAE0RA009153,Capistrano Valley Toyota,CA
2024,Premium AWD,Heavy Metal,39920,0.0,39920.0,At dealer,False,,JTNABAAE0RA009167,Ammaar's Toyota Vacaville,CA
2024,Core AWD,Supersonic Red,36100,0.0,36100.0,Port to dealer,False,Available,JTNABAAE0RA009184,Victory Toyota,MI
2024,Core AWD,Ice Cap,36100,0.0,36100.0,Port to dealer,False,,JTNABAAE0RA009217,Walker Toyota,OH
2024,Circuit Edition AWD,Blue Flame,44740,0.0,44740.0,Factory to port,False,Available,JTNABAAE0RA009220,Toyota of Deerfield Beach,FL
2024,Premium AWD,Heavy Metal,39920,0.0,39920.0,At dealer,True,DealerHold,JTNABAAE0RA009234,Street Toyota,TX
2024,Premium AWD,Black,39920,0.0,39920.0,Port to dealer,True,DealerHold,JTNABAAE0RA009248,Thompson Toyota,PA
2024,Premium AWD,Ice Cap,39920,0.0,39920.0,At dealer,False,Available,JTNABAAE0RA009265,Supreme Toyota of Hammond,LA
2024,Premium AWD,Black,39920,0.0,39920.0,At dealer,True,DealerHold,JTNABAAE0RA009282,Brownsville Toyota,TX
2024,Core AWD,Black,36100,0.0,36100.0,Port to dealer,False,,JTNABAAE0RA009301,Diehl Toyota of Butler,PA
2024,Premium AWD,Ice Cap,39920,0.0,39920.0,Port to dealer,False,,JTNABAAE0RA009329,Del Toyota,PA
2024,Circuit Edition AWD,Blue Flame,44740,0.0,44740.0,Factory to port,False,Available,JTNABAAE0RA009461,Toyota of Orlando,FL
2024,Core AWD,Black,36100,0.0,36100.0,Port to dealer,False,,JTNABAAE0RA009492,Yark Toyota,OH
2024,Premium AWD,Black,39920,0.0,39920.0,At dealer,False,,JTNABAAE0RA009508,Elko Toyota,NV
2024,Core AWD,Supersonic Red,36100,0.0,36100.0,Factory to port,False,DealerHold,JTNABAAE0RA009525,Colonial Toyota,PA
