Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Limited RWD,Supersonic Red,66000,0.0,66000.0,At dealer,False,Available,JTDAAAAA0PA008246,Tustin Toyota,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,At dealer,False,,JTDAAAAA0PA009574,Toyota Sunnyvale,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA0PA010028,Tustin Toyota,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA0PA010188,Toyota Santa Monica,CA
2023,Limited RWD,Heavy Metal,66000,0.0,66000.0,At dealer,False,,JTDAAAAA0PA010241,Toyota of Orange,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,At dealer,False,Available,JTDAAAAA0PA010482,Dublin Toyota,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA0PA010496,Longo Toyota,CA
2023,Limited RWD,Heavy Metal,66000,0.0,66000.0,At dealer,False,Available,JTDAAAAA0PA010529,San Francisco Toyota,CA
2023,XLE RWD,Supersonic Red,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA0PA011244,Tustin Toyota,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA0PA011275,Toyota Santa Monica,CA
2023,XLE RWD,Oxygen White,49500,1995.0,51495.0,Factory to port,False,,JTDAAAAA0PA011292,Toyota of Orange,CA
2023,XLE RWD,Oxygen White,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA0PA011308,Tustin Toyota,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA1PA009860,Toyota Santa Monica,CA
2023,Limited RWD,Oxygen White,66000,0.0,66000.0,At dealer,False,,JTDAAAAA1PA010166,Toyota Santa Monica,CA
2023,Limited RWD,Supersonic Red,66000,0.0,66000.0,At dealer,False,,JTDAAAAA1PA010197,Longo Toyota,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA1PA010233,Toyota of Orange,CA
2023,Limited RWD,Hydro Blue,66000,0.0,66000.0,At dealer,False,,JTDAAAAA1PA010300,Tustin Toyota,CA
2023,XLE RWD,Oxygen White,49500,0.0,49500.0,At dealer,False,,JTDAAAAA1PA010569,Dublin Toyota,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA1PA010605,Longo Toyota,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA1PA010796,Longo Toyota,CA
2023,XLE RWD,Oxygen White,49500,1995.0,51495.0,Factory to port,False,,JTDAAAAA1PA011253,Toyota of Orange,CA
2023,XLE RWD,Black,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA1PA011270,Tustin Toyota,CA
2023,XLE RWD,Oxygen White,49500,1995.0,51495.0,Factory to port,False,,JTDAAAAA1PA011284,Toyota of Orange,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA1PA011303,Hamer Toyota,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,At dealer,False,Available,JTDAAAAA2PA008216,Toyota Sunnyvale,CA
2023,Limited RWD,Heavy Metal,66000,0.0,66000.0,At dealer,False,Available,JTDAAAAA2PA009785,Longo Toyota,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,At dealer,False,,JTDAAAAA2PA010144,Toyota Sunnyvale,CA
2023,Limited RWD,Heavy Metal,66000,0.0,66000.0,At dealer,False,,JTDAAAAA2PA010208,Toyota Santa Monica,CA
2023,Limited RWD,Hydro Blue,66000,0.0,66000.0,At dealer,False,Available,JTDAAAAA2PA010371,Toyota Santa Monica,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,At dealer,False,Available,JTDAAAAA2PA010693,San Francisco Toyota,CA
2023,Limited RWD,Black,66000,0.0,66000.0,At dealer,False,,JTDAAAAA2PA010760,Tustin Toyota,CA
2023,XLE RWD,Oxygen White,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA2PA011245,Tustin Toyota,CA
2023,XLE RWD,Black,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA2PA011276,Toyota Santa Monica,CA
2023,XLE RWD,Black,49500,0.0,49500.0,Factory to port,False,,JTDAAAAA2PA011293,Toyota Santa Monica,CA
2023,XLE RWD,Heavy Metal,49500,1995.0,51495.0,Factory to port,False,,JTDAAAAA2PA011312,Toyota of Orange,CA
2023,Limited RWD,Oxygen White,66000,0.0,66000.0,At dealer,False,Available,JTDAAAAA3PA009827,San Francisco Toyota,CA
2023,XLE RWD,Oxygen White,49500,0.0,49500.0,At dealer,False,Available,JTDAAAAA3PA009990,Toyota Sunnyvale,CA
2023,XLE RWD,Heavy Metal,49500,0.0,49500.0,At dealer,False,Available,JTDAAAAA3PA010069,Toyota Sunnyvale,CA
2023,XLE RWD,Oxygen White,49500,0.0,49500.0,At dealer,False,Available,JTDAAAAA3PA010458,Stevens Creek Toyota,CA
2023,XLE RWD,Oxygen White,49500,0.0,49500.0,At dealer,False,Available,JTDAAAAA3PA010525,San Francisco Toyota,CA
2023,XLE RWD,Oxygen White,49500,0.0,49500.0,At dealer,False,,JTDAAAAA3PA010606,Dublin Toyota,CA
