Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XSE FWD,Guardian Gray,35925,0.0,35925.0,At dealer,False,Available,JTDACACU0R3011866,Berlin City Toyota of Portland,ME
2024,SE FWD,Wind Chill Pearl,32675,0.0,32675.0,At dealer,False,Available,JTDACACU0R3011916,Toyota of Gladstone,OR
2024,XSE FWD,Wind Chill Pearl,35925,0.0,35925.0,At dealer,False,Available,JTDACACU0R3012077,Passport Toyota,MD
2024,XSE FWD,Wind Chill Pearl,35925,0.0,35925.0,At dealer,True,,JTDACACU0R3012113,San Francisco Toyota,CA
2024,XSE FWD,Midnight Black Metallic,35925,0.0,35925.0,At dealer,False,DealerHold,JTDACACU0R3012127,Toyota of Bowie,MD
2024,SE FWD,Midnight Black Metallic,32675,0.0,32675.0,At dealer,False,,JTDACACU0R3012161,Capitol Toyota,CA
2024,XSE FWD,Guardian Gray,35925,0.0,35925.0,At dealer,False,DealerHold,JTDACACU0R3012239,Toyota of Manhattan,NY
2024,XSE FWD,Cutting Edge,35925,0.0,35925.0,Port to dealer,False,DealerHold,JTDACACU0R3012306,Empire Toyota of Huntington,NY
2024,XSE Premium FWD,Midnight Black Metallic,39370,0.0,39370.0,Port to dealer,True,DealerHold,JTDACACU0R3012550,Hanlees Hilltop Toyota,CA
2024,XSE FWD,Supersonic Red,35925,0.0,35925.0,Port to dealer,False,DealerHold,JTDACACU0R3012676,Colonial Toyota,CT
2024,XSE FWD,Midnight Black Metallic,35925,0.0,35925.0,Port to dealer,False,DealerHold,JTDACACU0R3012757,Lithia Toyota of Redding,CA
2024,XSE FWD,Reservoir Blue,35925,0.0,35925.0,Port to dealer,False,DealerHold,JTDACACU0R3012838,Steet Toyota,NY
2024,XSE FWD,Wind Chill Pearl,35925,0.0,35925.0,Factory to port,False,,JTDACACU0R3012919,Westbury Toyota,NY
