Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,At dealer,False,,2T3A1RFV0PC384846,Ball Toyota of Charleston,WV
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,At dealer,False,Available,2T3A1RFV0PC387679,Jim Robinson Toyota,WV
2023,XLE Premium AWD,Ruby Flare Pearl,34075,0.0,34075.0,At dealer,False,Available,2T3A1RFV0PW403166,Foothills Toyota,WA
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,Port to dealer,True,DealerHold,2T3A1RFV0PW405757,Maplewood Toyota,MN
2023,XLE Premium AWD,Silver Sky Metallic,34075,0.0,34075.0,At dealer,False,Available,2T3A1RFV0PW406620,Young Toyota,UT
2023,XLE Premium AWD,Magnetic Gray Metallic,34075,0.0,34075.0,At dealer,False,Available,2T3A1RFV0PW407444,Parks Toyota of Deland,FL
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC01E391,Tansky Sawmill Toyota,OH
2024,XLE Premium AWD,Magnetic Gray Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC01E584,Interstate Toyota,NY
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC01H081,Route 22 Toyota,NJ
2024,XLE Premium AWD,Midnight Black Metallic,34275,0.0,34275.0,Factory to port,False,Available,2T3A1RFV0RC01H226,World Toyota,GA
2024,XLE Premium AWD,Midnight Black Metallic,34275,0.0,34275.0,Factory to port,False,,2T3A1RFV0RC02E452,Marietta Toyota,GA
2024,XLE Premium AWD,Magnetic Gray Metallic,34475,299.0,34774.0,Factory to port,False,,2T3A1RFV0RC02F066,Team Toyota,PA
2024,XLE Premium AWD,Midnight Black Metallic,34275,0.0,34275.0,Factory to port,False,Available,2T3A1RFV0RC02F181,Milton Martin Toyota,GA
2024,XLE Premium AWD,Silver Sky Metallic,34275,0.0,34275.0,Factory to port,False,Available,2T3A1RFV0RC02H156,Toyota of Easley,SC
2024,XLE Premium AWD,Silver Sky Metallic,34275,0.0,34275.0,Factory to port,False,Available,2T3A1RFV0RC02H271,Stone Mountain Toyota,GA
2024,XLE Premium AWD,Magnetic Gray Metallic,34275,0.0,34275.0,Factory to port,False,Available,2T3A1RFV0RC02H383,Vann York Toyota,NC
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC02I002,Smithtown Toyota,NY
2024,XLE Premium AWD,Silver Sky Metallic,34275,0.0,34275.0,Factory to port,False,Available,2T3A1RFV0RC02I047,Heyward Allen Toyota,GA
2024,XLE Premium AWD,Magnetic Gray Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC02I209,Fordham Toyota,NY
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC03F693,Sunrise Toyota,NY
2024,XLE Premium AWD,Magnetic Gray Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC03G570,Bell Road Toyota,AZ
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC03I755,Hesser Toyota,WI
2024,XLE Premium AWD,Silver Sky Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC03K143,"Molle Toyota, Inc.",MO
2024,XLE Premium AWD,Silver Sky Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC03K241,Route 22 Toyota,NJ
2024,XLE Premium AWD,Magnetic Gray Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC04F012,Wilson Toyota,IA
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC04K087,Wilson Toyota,IA
2024,XLE Premium AWD,Silver Sky Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC04K171,Dan Deery Toyota,IA
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC05E213,Baxter Toyota of Lincoln,NE
2024,XLE Premium AWD,Midnight Black Metallic,34475,0.0,34475.0,Factory to port,False,,2T3A1RFV0RC05F457,Toyota of Des Moines,IA
