Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XLE Premium hybrid,Magnetic Gray Metallic,36125,0.0,36125.0,Factory to port,False,,2T3B6RFV0RW01F058,Joseph Toyota of Cincinnati,OH
2024,XLE Premium hybrid,Magnetic Gray Metallic,36125,0.0,36125.0,Factory to port,False,,2T3B6RFV0RW03J238,AutoNation Toyota Arapahoe,CO
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW047746,Hixson Toyota,LA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,At dealer,False,,2T3B6RFV0RW048220,Dan Porter Honda-Toyota,ND
2024,XLE Premium hybrid,Blueprint,35875,0.0,35875.0,At dealer,False,,2T3B6RFV0RW048346,Danville Toyota,VA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW049724,Norm Reeves Toyota San Diego,CA
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,At dealer,False,Available,2T3B6RFV0RW049822,Cabe Toyota Long Beach,CA
2024,XLE Premium hybrid,Midnight Black Metallic,35875,0.0,35875.0,At dealer,False,Available,2T3B6RFV0RW050064,Toyota of Muscatine,IA
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW050355,Toyota of Downtown LA,CA
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,At dealer,False,,2T3B6RFV0RW050372,Bennett Toyota of Lebanon,PA
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW050856,Temecula Valley Toyota,CA
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,At dealer,True,DealerHold,2T3B6RFV0RW051408,Sheehy Toyota of Fredericksburg,VA
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW051876,Penn Toyota,NY
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW052011,Kinderhook Toyota,NY
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,At dealer,False,,2T3B6RFV0RW052333,Jim Robinson Toyota,WV
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW052378,Prestige Toyota of Ramsey,NJ
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW052882,Heritage Toyota Catonsville,MD
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW052896,Sloane Toyota of Malvern,PA
2024,XLE Premium hybrid,Midnight Black Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW053126,Peruzzi Toyota,PA
2024,XLE Premium hybrid,Blueprint,35875,1397.0,37272.0,At dealer,False,DealerHold,2T3B6RFV0RW053207,DCH Wappingers Falls Toyota,NY
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW053269,Holman Toyota,NJ
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,At dealer,False,Available,2T3B6RFV0RW053577,Maguire Toyota,NY
2024,XLE Premium hybrid,Midnight Black Metallic,35875,0.0,35875.0,Port to dealer,False,DealerHold,2T3B6RFV0RW053613,Bill Page Toyota,VA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,True,DealerHold,2T3B6RFV0RW053658,Edmark Toyota,ID
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,2887.0,38762.0,Factory to port,False,Available,2T3B6RFV0RW053661,Lost Pines Toyota,TX
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW053739,Sunrise Toyota,NY
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,At dealer,False,Available,2T3B6RFV0RW053742,Curry Toyota,NY
2024,XLE Premium hybrid,Blueprint,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW053773,Johnstons Toyota,NY
2024,XLE Premium hybrid,Wind Chill Pearl,35875,0.0,35875.0,Port to dealer,False,Available,2T3B6RFV0RW053806,Longo Toyota,CA
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW053952,Ardmore Toyota,PA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Factory to port,True,Available,2T3B6RFV0RW054017,Universal Toyota,TX
2024,XLE Premium hybrid,Blueprint,35875,0.0,35875.0,Port to dealer,True,,2T3B6RFV0RW054051,One Toyota of Oakland,CA
2024,XLE Premium hybrid,Ruby Flare Pearl,35875,0.0,35875.0,Port to dealer,True,DealerHold,2T3B6RFV0RW054082,Straatmann Toyota,MO
2024,XLE Premium hybrid,Blueprint,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054129,Bob Smith Toyota,CA
2024,XLE Premium hybrid,Midnight Black Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054132,Plaza Toyota,NY
2024,XLE Premium hybrid,Blueprint,35875,0.0,35875.0,Port to dealer,False,DealerHold,2T3B6RFV0RW054244,Tri County Toyota,PA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054275,Lithia Toyota of Missoula,MT
2024,XLE Premium hybrid,Blueprint,35875,895.0,36770.0,Port to dealer,True,Available,2T3B6RFV0RW054308,Bennett Toyota,PA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054339,Lia Toyota of Rockland,NY
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054373,Berglund Toyota,VA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,False,DealerHold,2T3B6RFV0RW054390,Vancouver Toyota,WA
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,At dealer,False,DealerHold,2T3B6RFV0RW054406,Burdick Toyota,NY
2024,XLE Premium hybrid,Silver Sky Metallic,35875,0.0,35875.0,Port to dealer,False,Available,2T3B6RFV0RW054423,Toyota of Stamford,CT
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,False,DealerHold,2T3B6RFV0RW054440,Westbury Toyota,NY
2024,XLE Premium hybrid,Blueprint,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054485,Brewer Airport Toyota,PA
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,False,DealerHold,2T3B6RFV0RW054504,Town Toyota,WA
2024,XLE Premium hybrid,Midnight Black Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054647,Interstate Toyota,NY
2024,XLE Premium hybrid,Magnetic Gray Metallic,35875,0.0,35875.0,Port to dealer,False,,2T3B6RFV0RW054695,Team Toyota of Glen Mills,PA
