Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD140474,Bill Kidd's Timonium Toyota,MD
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD149921,West Herr Toyota of Orchard Park,NY
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD150051,West Herr Toyota of Canandaigua,NY
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD151281,Parkway Toyota,NJ
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,DealerHold,JTMAB3FV0PD151300,Imperial Toyota,MA
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD152012,Ira Toyota,MA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD152950,Toyota of Greenwich,CT
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD153306,Jones Toyota,MD
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD153533,Lia Toyota,MA
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD157467,355 Toyota,MD
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD157579,Curry Toyota,NY
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD158571,Haddad Toyota,MA
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD159090,Team Toyota of Princeton,NJ
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD159526,Jim Coleman Toyota,MD
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD159588,Jim Coleman Toyota,MD
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD160045,Jerry's Toyota,MD
2023,SE AWD,Ice Cap,43090,4000.0,47090.0,At dealer,False,Available,JTMAB3FV0PD161227,Lakeside Toyota,LA
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD161258,Torrington Toyota,CT
2023,SE AWD,Supersonic Red,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD161292,Prestige Toyota,NY
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD161311,Hartford Toyota,CT
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD161390,Northtown Toyota,NY
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,True,DealerHold,JTMAB3FV0PD161809,Toyota of Turnersville,NJ
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD161907,Rivera Toyota of Mt. Kisco,NY
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD161910,Advantage Toyota,NY
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD162314,Antwerpen's Toyota,MD
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD162636,Sheehy Toyota of Laurel,MD
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,Available,JTMAB3FV0PD162703,Acton Toyota of Littleton,MA
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD162801,WOW Toyota of Wallingford,CT
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD162863,Rivera Toyota of Mt. Kisco,NY
2023,SE AWD,Blueprint,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD162894,Hartford Toyota,CT
2023,SE AWD,Silver Sky Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD163057,WOW Toyota of Wallingford,CT
2023,SE AWD,Ice Cap,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD163107,Holman Toyota,NJ
2023,SE AWD,Magnetic Gray Metallic,43090,0.0,43090.0,At dealer,False,,JTMAB3FV0PD163186,Charlie's Toyota,ME
