Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Factory to port,False,Available,5TDBRKEC0RS186419,Toyota of Orlando,FL
2024,LE FWD,Blueprint,37185,2999.0,40184.0,Port to dealer,False,DealerHold,5TDBRKEC0RS186632,Toyota City,NY
2024,LE FWD,Blueprint,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC0RS186789,Atlantic Toyota,NY
2024,LE FWD,Predawn Gray Mica,37185,0.0,37185.0,Port to dealer,True,Available,5TDBRKEC0RS186825,East Coast Toyota,NJ
2024,LE FWD,Blueprint,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC0RS187599,Autoland Toyota,NJ
2024,LE FWD,Predawn Gray Mica,37185,0.0,37185.0,Factory to port,True,Available,5TDBRKEC0RS50P357,Future Toyota of Yuba City,CA
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Factory to port,True,DealerHold,5TDBRKEC0RS51M132,Toyota of Vallejo,CA
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Port to dealer,True,DealerHold,5TDBRKEC1RS186770,Modesto Toyota,CA
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Port to dealer,False,DealerHold,5TDBRKEC1RS186784,Westbury Toyota,NY
2024,LE FWD,Blueprint,37185,0.0,37185.0,Port to dealer,True,DealerHold,5TDBRKEC1RS186977,Northway Toyota,NY
2024,LE FWD,Celestial Silver Metallic,37185,3085.0,40270.0,Port to dealer,False,Available,5TDBRKEC1RS187420,Toyota of Glendale,CA
2024,LE FWD,Midnight Black Metallic,37185,1495.0,38680.0,Factory to port,True,DealerHold,5TDBRKEC1RS188261,Sterling McCall Toyota,TX
2024,LE FWD,Ice Cap,37185,0.0,37185.0,Port to dealer,False,,5TDBRKEC1RS188602,Toyota of Escondido,CA
2024,LE FWD,Celestial Silver Metallic,37185,0.0,37185.0,Factory to port,False,DealerHold,5TDBRKEC1RS50N956,"Gale Toyota, Inc.",CT
2024,LE FWD,Blueprint,37185,0.0,37185.0,Factory to port,False,DealerHold,5TDBRKEC1RS50O511,Joseph Toyota of Cincinnati,OH
