Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM215187,Toyota of Greensboro,NC
2023,TRD Off-Road 4x2,Magnetic Gray Metallic,36790,0.0,36790.0,At dealer,False,Available,3TMAZ5CN0PM215383,Rick Hendrick Toyota,NC
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM215402,Earl Stewart Toyota of North Palm Beach,FL
2023,TRD Sport 4x2,Celestial Silver Metallic,36765,0.0,36765.0,At dealer,False,Available,3TMAZ5CN0PM215707,Valdosta Toyota,GA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,True,Available,3TMAZ5CN0PM215819,San Marcos Toyota,TX
2023,SR5 4x2,Ice Cap,34980,1875.0,36855.0,At dealer,False,Available,3TMAZ5CN0PM215867,Red McCombs Toyota,TX
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM215898,Scott Clark Toyota,NC
2023,TRD Off-Road 4x2,Ice Cap,36790,0.0,36790.0,At dealer,False,,3TMAZ5CN0PM216162,Coggin Toyota at the Avenues,FL
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216193,Sterling McCall Toyota Fort Bend,TX
2023,SR5 4x2,Black,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216288,Toyota of Puyallup,WA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216291,Toyota of Melbourne,FL
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216307,Toyota of Melbourne,FL
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216405,Beaver Toyota of Cumming,GA
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216436,Toyota of Del Rio,TX
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216503,Toyota of Del Rio,TX
2023,TRD Sport 4x2,Black,36765,0.0,36765.0,At dealer,False,Available,3TMAZ5CN0PM216646,Keith Pierson Toyota,FL
2023,SR5 4x2,Ice Cap,34980,1890.0,36870.0,At dealer,False,Available,3TMAZ5CN0PM216694,Fred Haas Toyota Country,TX
2023,SR5 4x2,Ice Cap,34980,2998.0,37978.0,At dealer,True,Available,3TMAZ5CN0PM216839,San Marcos Toyota,TX
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216842,Vic Vaughan Toyota of Boerne,TX
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216873,Bob Tyler Toyota,FL
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,,3TMAZ5CN0PM216887,David Wilson's Toyota of Las Vegas,NV
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216906,Toyota of North Charlotte,NC
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,At dealer,False,Available,3TMAZ5CN0PM216923,AutoNation Toyota South Austin,TX
2023,SR5 4x2,Ice Cap,34980,0.0,34980.0,Factory to port,False,Available,3TMAZ5CN0PM216937,Keith Pierson Toyota,FL
