Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX02C572,LaGrange Toyota,GA
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB0RX031784,Supreme Toyota of Hammond,LA
2024,Limited 4x2,Smoked Mesquite,53905,498.0,54403.0,At dealer,False,Available,5TFJA5AB0RX032028,Don Ringler Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,DealerHold,5TFJA5AB0RX032420,Toyota of New Orleans,LA
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB0RX032496,Toyota of Dallas,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX032627,Fred Haas Toyota World,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX032756,Fred Haas Toyota World,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX032773,Toyota of Cedar Park,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX032854,Toyota of Slidell,LA
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX032918,South Dade Toyota,FL
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB0RX51I343,Toyota of Clermont,FL
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB1RX01C939,Toyota of Fort Walton Beach,FL
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,,5TFJA5AB1RX02A930,Village Cadillac-Toyota,FL
2024,Limited 4x2,Lunar Rock,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB1RX031289,Sarasota Toyota,FL
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,DealerHold,5TFJA5AB1RX032328,AutoNation Toyota Weston,FL
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,At dealer,False,DealerHold,5TFJA5AB1RX032376,Brownsville Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB1RX032412,Mike Calvert Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,1995.0,55900.0,At dealer,False,Available,5TFJA5AB1RX032569,Toyota of Killeen,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB1RX032653,Butler Toyota,GA
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB1RX032829,Tejas Toyota,TX
2023,Limited 4x2,Wind Chill Pearl,52615,0.0,52615.0,At dealer,True,Available,5TFJA5AB2PX028060,Don McGill Toyota of Katy,TX
2023,Limited 4x2,Midnight Black Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB2PX029452,Cavender Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX02E274,Toyota of Rock Hill,SC
2024,Limited 4x2,Wind Chill Pearl,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX030460,Walker-Jones Toyota,GA
2024,Limited 4x2,Celestial Silver Metallic,53905,2995.0,56900.0,At dealer,False,DealerHold,5TFJA5AB2RX030748,Bryan College Station Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB2RX031396,Shottenkirk Toyota Granbury,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB2RX032306,Hendrick Toyota Concord,NC
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX032547,Pitts Toyota,GA
2024,Limited 4x2,Midnight Black Metallic,53905,1995.0,55900.0,At dealer,False,Available,5TFJA5AB2RX032578,Toyota of Killeen,TX
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX032807,Sarasota Toyota,FL
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX032838,Palm Beach Toyota,FL
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX51E598,LaGrange Toyota,GA
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB2RX51F976,Toyota of Rock Hill,SC
2023,Limited 4x2,Lunar Rock,52615,0.0,52615.0,At dealer,False,DealerHold,5TFJA5AB3PX029430,Toyota of Riverside,CA
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB3RX02C534,Stokes Toyota Beaufort,SC
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB3RX02C629,DeLuca Toyota,FL
2024,Limited 4x2,Celestial Silver Metallic,53905,0.0,53905.0,L,False,Available,5TFJA5AB3RX031004,Greenville Toyota,NC
2024,Limited 4x2,Smoked Mesquite,53905,1098.0,55003.0,At dealer,False,Available,5TFJA5AB3RX031875,Toyota of Cedar Park,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,2595.0,56500.0,At dealer,False,Available,5TFJA5AB3RX032380,Cowboy Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,1098.0,55003.0,At dealer,False,Available,5TFJA5AB3RX032458,Toyota of Cedar Park,TX
2023,Limited 4x2,Wind Chill Pearl,52615,1995.0,54610.0,At dealer,False,DealerHold,5TFJA5AB4PX029534,Toyota of Midland,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB4RX01A263,Franklin Toyota,GA
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB4RX02A808,Toyota of Clermont,FL
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB4RX031822,Fred Haas Toyota World,TX
2024,Limited 4x2,Midnight Black Metallic,53905,1495.0,55400.0,At dealer,False,Available,5TFJA5AB4RX032095,Bohn Toyota,LA
2024,Limited 4x2,Magnetic Gray Metallic,53905,1395.0,55300.0,At dealer,False,Available,5TFJA5AB4RX032484,Toyota of New Orleans,LA
2024,Limited 4x2,Magnetic Gray Metallic,53905,1795.0,55700.0,At dealer,False,Available,5TFJA5AB4RX032632,Universal Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB4RX032761,Joe Myers Toyota,TX
2023,Limited 4x2,Midnight Black Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB5PX029056,Cavender Toyota,TX
2023,Limited 4x2,Celestial Silver Metallic,52615,1995.0,54610.0,At dealer,False,Available,5TFJA5AB5PX029185,Cavender Toyota,TX
2023,Limited 4x2,Midnight Black Metallic,52615,1495.0,54110.0,At dealer,False,Available,5TFJA5AB5PX029896,Price LeBlanc Toyota,LA
2024,Limited 4x2,Ice Cap,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB5RX030632,Eastern Shore Toyota,AL
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB5RX030744,Lugoff Toyota,SC
2024,Limited 4x2,Wind Chill Pearl,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB5RX030906,Toyota of Hollywood,FL
2024,Limited 4x2,Ice Cap,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB5RX031702,Fred Anderson Toyota,NC
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB5RX032218,AutoNation Toyota Weston,FL
2024,Limited 4x2,Smoked Mesquite,53905,1875.0,55780.0,At dealer,False,Available,5TFJA5AB5RX032266,Red McCombs Toyota,TX
2024,Limited 4x2,Celestial Silver Metallic,53905,1795.0,55700.0,At dealer,False,Available,5TFJA5AB5RX032414,Universal Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB5RX032512,Pat Lobb Toyota of McKinney,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,,5TFJA5AB5RX032624,Gettel Toyota of Bradenton,FL
2024,Limited 4x2,Midnight Black Metallic,53905,1098.0,55003.0,At dealer,False,Available,5TFJA5AB5RX032638,Toyota of Cedar Park,TX
2024,Limited 4x2,Lunar Rock,53905,0.0,53905.0,Factory to port,False,,5TFJA5AB5RX032641,Toyota of Tampa Bay,FL
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB5RX032672,Poe Toyota,TX
2024,Limited 4x2,Celestial Silver Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB5RX032865,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Celestial Silver Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB5RX032896,Toyota of Rockwall,TX
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,Factory to port,False,,5TFJA5AB5RX50F815,Rick Hendrick Toyota,NC
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB5RX50G690,Toyota of Clermont,FL
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB5RX51G703,Fred Anderson Toyota of Charleston,SC
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB6RX031983,J. Allen Toyota,MS
2024,Limited 4x2,Smoked Mesquite,53905,1098.0,55003.0,At dealer,False,Available,5TFJA5AB6RX032082,Toyota of Cedar Park,TX
2024,Limited 4x2,Midnight Black Metallic,53905,1098.0,55003.0,Factory to port,False,Available,5TFJA5AB6RX032387,Toyota of Cedar Park,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB6RX032552,Toyota of Richardson,TX
2024,Limited 4x2,Midnight Black Metallic,53905,1999.0,55904.0,At dealer,False,Available,5TFJA5AB6RX032731,South Toyota,TX
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB6RX51F964,Gettel Toyota of Lakewood,FL
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB6RX51H584,Toyota of North Miami,FL
2023,Limited 4x2,Blueprint,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB7PX027406,Sterling McCall Toyota Fort Bend,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB7RX02C665,Palmer's Airport Toyota,AL
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB7RX030972,Round Rock Toyota,TX
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB7RX031202,Toyota of Dallas,TX
2024,Limited 4x2,Smoked Mesquite,53905,1098.0,55003.0,At dealer,False,Available,5TFJA5AB7RX031409,Toyota of Cedar Park,TX
2024,Limited 4x2,Midnight Black Metallic,53905,1880.0,55785.0,At dealer,False,Available,5TFJA5AB7RX031832,Toyota of Fort Worth,TX
2024,Limited 4x2,Midnight Black Metallic,53905,1895.0,55800.0,At dealer,True,Available,5TFJA5AB7RX032169,Don McGill Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,1398.0,55303.0,At dealer,False,Available,5TFJA5AB7RX032429,AutoNation Toyota Gulf Freeway,TX
2024,Limited 4x2,Smoked Mesquite,53905,3493.0,57398.0,At dealer,False,Available,5TFJA5AB7RX032494,Keating Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,2379.0,56284.0,Factory to port,False,Available,5TFJA5AB7RX032608,Gullo Toyota of Conroe,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB7RX032673,Bob Tyler Toyota,FL
2024,Limited 4x2,Celestial Silver Metallic,53905,1894.0,55799.0,At dealer,True,DealerHold,5TFJA5AB7RX032768,Team Toyota,LA
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB7RX032902,Lipton Toyota,FL
2023,Limited 4x2,Celestial Silver Metallic,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB8PX029407,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,599.0,54504.0,At dealer,False,Available,5TFJA5AB8RX031757,Landers Toyota,AR
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB8RX032195,Florence Toyota,SC
2024,Limited 4x2,Celestial Silver Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB8RX032438,Gene Messer Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB8RX032486,Lithia Toyota of Odessa,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB8RX032634,Toyota of Clermont,FL
2024,Limited 4x2,Magnetic Gray Metallic,53905,1495.0,55400.0,At dealer,False,Available,5TFJA5AB8RX032651,Sterling McCall Toyota,TX
2024,Limited 4x2,Celestial Silver Metallic,53905,599.0,54504.0,Factory to port,False,Available,5TFJA5AB8RX51G016,Landers Toyota,AR
2023,Limited 4x2,Ice Cap,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB9PX029111,Bob Smith Toyota,CA
2024,Limited 4x2,Blueprint,53905,0.0,53905.0,Factory to port,False,,5TFJA5AB9RX02C571,AutoNation Toyota Winter Park,FL
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB9RX031265,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB9RX032528,Round Rock Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB9RX032545,Jeff Hunter Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB9RX032609,Toyota of Plano,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5AB9RX032674,Mac Haik Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB9RX032688,Brownsville Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB9RX032805,Fred Haas Toyota World,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5AB9RX032853,Shottenkirk Toyota Granbury,TX
2024,Limited 4x2,Smoked Mesquite,53905,0.0,53905.0,At dealer,False,Available,5TFJA5ABXRX031341,Fred Anderson Toyota,NC
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5ABXRX032425,Greg Leblanc Toyota,LA
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5ABXRX032456,Gene Messer Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,53905,0.0,53905.0,At dealer,False,Available,5TFJA5ABXRX032523,Don McGill Toyota of Katy,TX
2024,Limited 4x2,Midnight Black Metallic,53905,1098.0,55003.0,At dealer,False,Available,5TFJA5ABXRX032571,Toyota of Cedar Park,TX
2024,Limited 4x2,Lunar Rock,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5ABXRX032652,Toyota of North Miami,FL
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5ABXRX032683,J. Allen Toyota,MS
2024,Limited 4x2,Midnight Black Metallic,53905,1495.0,55400.0,Factory to port,False,Available,5TFJA5ABXRX032778,Sterling McCall Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,DealerHold,5TFJA5ABXRX032845,Courtesy Toyota,FL
2024,Limited 4x2,Celestial Silver Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5ABXRX032912,Toyota of Pharr,TX
2024,Limited 4x2,Ice Cap,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5ABXRX50F325,Milton Martin Toyota,GA
2024,Limited 4x2,Ice Cap,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5ABXRX50G197,Greenville Toyota,NC
2024,Limited 4x2,Midnight Black Metallic,53905,1599.0,55504.0,Factory to port,False,Available,5TFJA5ABXRX51F479,Silsbee Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,53905,0.0,53905.0,Factory to port,False,Available,5TFJA5ABXRX51G700,AutoNation Toyota Mall of Georgia,GA
2024,Limited 4x2,Celestial Silver Metallic,54235,1098.0,55333.0,At dealer,False,Available,5TFJA5BC0RX003071,Toyota of Cedar Park,TX
2024,Limited 4x2,Celestial Silver Metallic,54235,1995.0,56230.0,At dealer,False,Available,5TFJA5BC0RX003121,Cavender Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,1495.0,55730.0,Factory to port,False,Available,5TFJA5BC0RX003135,Sterling McCall Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,1875.0,56110.0,At dealer,False,Available,5TFJA5BC1RX003046,Red McCombs Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC1RX003063,Fred Haas Toyota World,TX
2024,Limited 4x2,Celestial Silver Metallic,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC2RX003122,Carl Hogan Toyota,MS
2024,Limited 4x2,Magnetic Gray Metallic,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC2RX003136,Vic Vaughan Toyota of Boerne,TX
2023,Limited 4x2,Magnetic Gray Metallic,52945,0.0,52945.0,At dealer,False,Available,5TFJA5BC3PX003000,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Midnight Black Metallic,54235,1880.0,56115.0,At dealer,False,Available,5TFJA5BC3RX003047,Toyota of Fort Worth,TX
2024,Limited 4x2,Midnight Black Metallic,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC3RX003114,Joe Myers Toyota,TX
2024,Limited 4x2,Celestial Silver Metallic,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC4RX003039,Don McGill Toyota of Katy,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC4RX003137,Fred Haas Toyota World,TX
2024,Limited 4x2,Wind Chill Pearl,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC4RX51F971,Palm Beach Toyota,FL
2023,Limited 4x2,Magnetic Gray Metallic,52945,2998.0,55943.0,At dealer,False,Available,5TFJA5BC5PX002916,San Marcos Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC5RX003115,Walker Toyota,LA
2024,Limited 4x2,Wind Chill Pearl,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC5RX51F073,AutoNation Toyota Thornton Road,GA
2024,Limited 4x2,Wind Chill Pearl,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC5RX51H762,Headquarter Toyota,FL
2023,Limited 4x2,Magnetic Gray Metallic,52945,1880.0,54825.0,At dealer,False,DealerHold,5TFJA5BC6PX002889,Toyota of Fort Worth,TX
2024,Limited 4x2,Blueprint,54235,0.0,54235.0,Port to dealer,False,Available,5TFJA5BC6RX003088,Mike Calvert Toyota,TX
2024,Limited 4x2,Celestial Silver Metallic,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC6RX003110,Fred Haas Toyota World,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC6RX003138,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,3495.0,57730.0,At dealer,False,Available,5TFJA5BC7RX003066,Toyota of Victoria,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC7RX003102,Fred Haas Toyota World,TX
2024,Limited 4x2,Ice Cap,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC7RX003133,AutoNation Toyota Corpus Christi,TX
2024,Limited 4x2,Smoked Mesquite,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC8RX003044,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Midnight Black Metallic,54235,1098.0,55333.0,At dealer,False,Available,5TFJA5BC8RX003075,Toyota of Cedar Park,TX
2024,Limited 4x2,Blueprint,54235,1098.0,55333.0,At dealer,False,Available,5TFJA5BC8RX003089,Toyota of Cedar Park,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC8RX02A916,Courtesy Toyota,FL
2023,Limited 4x2,Midnight Black Metallic,52945,1995.0,54940.0,At dealer,False,Available,5TFJA5BC9PX002899,Cavender Toyota,TX
2024,Limited 4x2,Lunar Rock,54235,0.0,54235.0,At dealer,False,DealerHold,5TFJA5BC9RX003053,Fred Haas Toyota World,TX
2024,Limited 4x2,Blueprint,54235,1098.0,55333.0,At dealer,False,Available,5TFJA5BC9RX003084,Toyota of Cedar Park,TX
2024,Limited 4x2,Blueprint,54235,0.0,54235.0,At dealer,False,Available,5TFJA5BC9RX003120,North Park Toyota of San Antonio,TX
2024,Limited 4x2,Ice Cap,54235,0.0,54235.0,Factory to port,False,Available,5TFJA5BC9RX003134,Toyota of Slidell,LA
2023,Limited 4x2,Smoked Mesquite,52945,1795.0,54740.0,At dealer,False,Available,5TFJA5BCXPX002944,Universal Toyota,TX
2024,Limited 4x2,Magnetic Gray Metallic,54235,0.0,54235.0,Factory to port,False,,5TFJA5BCXRX02A531,AutoNation Toyota Mall of Georgia,GA
2024,Limited 4x4,Lunar Rock,54855,0.0,54855.0,Factory to port,False,DealerHold,5TFJA5DA0RX01C143,McGee Toyota of Claremont,NH
2024,Limited 4x4,Wind Chill Pearl,54855,0.0,54855.0,At dealer,False,,5TFJA5DA0RX137333,Freeman Toyota,CA
2024,Limited 4x4,Ice Cap,54855,295.0,55150.0,At dealer,False,Available,5TFJA5DA0RX137879,Stevens Creek Toyota,CA
2024,Limited 4x4,Ice Cap,54855,0.0,54855.0,At dealer,False,,5TFJA5DA0RX140975,Auburn Toyota,CA
2024,Limited 4x4,Midnight Black Metallic,54855,0.0,54855.0,At dealer,False,,5TFJA5DA0RX151541,Bill Dube Toyota,NH
2024,Limited 4x4,Magnetic Gray Metallic,54855,0.0,54855.0,Factory to port,False,,5TFJA5DA0RX50F837,Berlin City Toyota of Portland,ME
2023,Limited 4x4,Midnight Black Metallic,53565,0.0,53565.0,At dealer,False,,5TFJA5DA1PX119307,Tracy Toyota,CA
2023,Limited 4x4,Smoked Mesquite,53565,395.0,53960.0,At dealer,False,Available,5TFJA5DA1PX122594,Toyota 101,CA
2024,Limited 4x4,Blueprint,54855,0.0,54855.0,At dealer,False,,5TFJA5DA1RX146235,Toyota of Clovis,CA
2024,Limited 4x4,Blueprint,54855,0.0,54855.0,Port to dealer,False,DealerHold,5TFJA5DA1RX159034,Le Mieux & Son Toyota,WI
2023,Limited 4x4,Midnight Black Metallic,53565,0.0,53565.0,At dealer,False,Available,5TFJA5DA2PX116318,Toyota of Huntington Beach,CA
2023,Limited 4x4,Celestial Silver Metallic,53565,0.0,53565.0,At dealer,False,Available,5TFJA5DA2PX122488,Thompson's Toyota of Placerville,CA
2023,Limited 4x4,Ice Cap,53565,0.0,53565.0,At dealer,False,,5TFJA5DA2PX128727,802 Toyota,VT
