Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,Tundra Limited 4x2,Ice Cap,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003073,North Park Toyota of San Antonio,TX
2024,Tundra Limited 4x2,Celestial Silver Metallic,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003154,Jim Ellis Toyota of McDonough,GA
2024,Tundra Limited 4x2,Blueprint,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003168,Peter Boulware Toyota,FL
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003171,Round Rock Toyota,TX
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,1999.0,59624.0,Factory to port,False,Available,5TFJC5AB0RX003204,South Toyota,TX
2024,Tundra Limited 4x2,Lunar Rock,57625,0.0,57625.0,Factory to port,False,DealerHold,5TFJC5AB0RX003221,Brownsville Toyota,TX
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003235,Community Toyota,TX
2024,Tundra Limited 4x2,Midnight Black Metallic,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003249,Universal Toyota,TX
2024,Tundra Limited 4x2,Blueprint,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003252,Toyota of Wichita Falls,TX
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003283,Toyota of Ardmore,OK
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB0RX003302,Tejas Toyota,TX
2024,Tundra Limited 4x2,Celestial Silver Metallic,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB0RX003316,Toyota of Midland,TX
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB0RX003347,Vic Vaughan Toyota of Boerne,TX
2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,1495.0,59120.0,Factory to port,False,Available,5TFJC5AB0RX003350,Sterling McCall Toyota,TX
2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB0RX003395,Fred Haas Toyota World,TX
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB0RX003414,Mike Calvert Toyota,TX
2023,Tundra Limited 4x2,Midnight Black Metallic,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB1PX002950,Nalley Toyota Stonecrest,GA
2024,Tundra Limited 4x2,Midnight Black Metallic,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB1RX003079,AutoNation Toyota Pinellas Park,FL
2024,Tundra Limited 4x2,Ice Cap,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB1RX003082,Sarasota Toyota,FL
2024,Tundra Limited 4x2,Smoked Mesquite,57625,1098.0,58723.0,At dealer,False,Available,5TFJC5AB1RX003096,Toyota of Cedar Park,TX
2024,Tundra Limited 4x2,Supersonic Red,57625,0.0,57625.0,At dealer,False,DealerHold,5TFJC5AB1RX003244,Courtesy Toyota,FL
2024,Tundra Limited 4x2,Supersonic Red,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB1RX003258,Universal Toyota,TX
2024,Tundra Limited 4x2,Magnetic Gray Metallic,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB1RX003275,Alamo Toyota,TX
2024,Tundra Limited 4x2,Smoked Mesquite,57625,1895.0,59520.0,Factory to port,False,Available,5TFJC5AB1RX003339,Don McGill Toyota,TX
2024,Tundra Limited 4x2,Supersonic Red,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB1RX003342,Alamo Toyota,TX
2024,Tundra Limited 4x2,Celestial Silver Metallic,57625,1895.0,59520.0,At dealer,False,DealerHold,5TFJC5AB1RX003356,Don McGill Toyota,TX
2024,Tundra Limited 4x2,Blueprint,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB1RX02A842,Toyota of Deerfield Beach,FL
2024,Tundra Limited 4x2,Ice Cap,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB1RX50G681,Kendall Toyota,FL
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB1RX51F672,Courtesy Toyota,FL
2023,Tundra Limited 4x2,Wind Chill Pearl,56415,0.0,56415.0,Port to dealer,False,,5TFJC5AB2PX002746,Freeway Toyota of Hanford,CA
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002892,Hendrick Toyota North Charleston,SC
2023,Tundra Limited 4x2,Army Green,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002908,Street Toyota,TX
2023,Tundra Limited 4x2,Celestial Silver Metallic,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002911,Scott Clark Toyota,NC
2024,Tundra Limited 4x2,Midnight Black Metallic,57625,0.0,57625.0,Factory to port,False,Available,5TFJC5AB2RX003057,South Dade Toyota,FL
2024,Tundra Limited 4x2,Wind Chill Pearl,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB2RX003060,Toyota of Richardson,TX
2024,Tundra Limited 4x2,Supersonic Red,57625,0.0,57625.0,At dealer,False,Available,5TFJC5AB2RX003124,Savannah Toyota,GA
